"title","instructor","guid","link","description","registration_url","registration_description","parkids","parknames","startdate","enddate","starttime","endtime","contact_phone","location","categories","coordinates","image","pubDate"
"Just Sixties Concert",,"2,216,722","http://www.nycgovparks.org/events/2026/08/18/just-sixties-concert","Just Sixties Concert, longest running 60’s tribute band in the USA. Rain date: Wednesday, August 26th.",,,"Q021","Cunningham Park","08/18/2026","08/18/2026","2026-08-09 18:45:00","2026-08-09 20:30:00",,"Union Turnpike and 196th Street (in Cunningham Park)","Free Summer Concerts","40.73071228199800000, -73.77485366931200000",,"2026-08-09 00:00:04"
"Just Sixties Concert",,"2,217,360","http://www.nycgovparks.org/events/2026/08/18/just-sixties-concert1","Join NYC Parks, and the Friends of Cunningham Park for Just Sixties, a free concert in Cunningham Park.Just Sixties is the longest running Sixties tribute band in the United States. Since their formation in 1982, JUST SIXTIES has played at top clubs and has been the opening act for Paul Revere and the Raiders, Felix Cavaliere's Rascals and Jay and the Americans.  Their repertoire includes the ultimate cross-section of Sixties music from ""Yummy, Yummy, Yummy"" to Jimi Hendrix' ""Fire,"" including many one-hit wonders.  You'll hear authentic renditions of the timeless classics from The Beatles, The Beach Boys, The Doors, The Rolling Stones, Janis Joplin, The Monkees, and so much more.",,"Registration not required.","Q021","Cunningham Park","08/18/2026","08/18/2026","2026-08-09 18:45:00","2026-08-09 20:45:00","(718) 393-7370","Cunningham Park Main Park House (in Cunningham Park)","Concerts | Dance | Art | Free Summer Concerts | Seniors","40.72980117797900000, -73.77359771728500000","http://www.nycgovparks.org/common_images/events/6a6ce3c0f32b4.jpg","2026-08-09 00:00:04"
"Zumba","Madeline Morales","2,165,312","http://www.nycgovparks.org/events/2026/08/18/zumba","Zumba is a fusion of Latin, International and popular music dance themes creating a dynamic, exciting, effective fitness system! The routines feature aerobic, fitness interval training with a combination of fast and slow rhythms that tone and sculpt the body with easy to follow dance steps.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=c501145d-bc26-4f23-b15d-69ac39f08ad3&occurrenceDate=20260818","Registration has begun and ends on 8/18/2026.","R129","Blood Root Valley","08/18/2026","08/18/2026","2026-08-09 19:00:00","2026-08-09 20:00:00",,"Multi-Use Room (in Blood Root Valley)","Dance | Fitness | Shape Up NYC | Recreation Center Programming | Dance Classes | Exercise Classes","40.59198260000000000, -74.13947248000000000",,"2026-08-09 00:00:04"
"Zumba under the Stars w/Lisa G",,"2,219,656","http://www.nycgovparks.org/events/2026/08/18/zumba-under-the-stars-wlisa-g-aka-rockazumbaway","Join Lisa G Zumba instructor for the Popular form of exercise and dance which combines Latin and African dance steps. This year line dance is an added twist to the Zumba class.Bring a bottle of water and Towel.&nbsp;",,"The 1/2 before and after is for sign in and networking with the community.","Q162","Rockaway Beach and Boardwalk","08/18/2026","08/18/2026","2026-08-09 19:00:00","2026-08-09 21:00:00","917-446-9986","Beach 17 O'Donohue Park (in Rockaway Beach and Boardwalk)","Dance | Fitness | Dance Classes | Exercise Classes | NYC Parks Fitness Expo","40.59255251480900000, -73.75414562225400000",,"2026-08-09 00:00:04"
"Movie Nights at Bella Abzug Park: National Treasure",,"2,209,965","http://www.nycgovparks.org/events/2026/08/18/movie-nights-at-bella-abzug-park-national-treasure","Enjoy movies in the park every Tuesday in August! 8 PM in Bella Abzug Park, between W 34th + W 35th Street.Adirondack chairs are first come, first served. This year we are excited to announce we have doubled the amount of chairs available! BYO chair or blanket. Please be advised there is no grass area in the park.8/4 Ferris Bueller's Day Off8/11 Jaws8/18 National Treasure8/25 Clueless",,,"M399","Bella Abzug Park","08/18/2026","08/18/2026","2026-08-09 20:00:00","2026-08-09 22:00:00",,"Bella Abzug Park Fountains (in Bella Abzug Park)","Free Summer Movies","40.75560660661400000, -74.00059022205600000",,"2026-08-09 00:00:04"
"Movies Under the Stars: Giants of Africa",,"2,216,835","http://www.nycgovparks.org/events/2026/08/18/movies-under-the-stars-giants-of-africa","Grab a blanket and come enjoy a movie in a neighborhood park or playground! This summer, NYC Parks and The Mayor’s Office of Media and Entertainment will host family-friendly movie showings across the five boroughs. On a continent where dreams are often displaced for necessity and survival, the game of basketball brings hope to many young men raised on the soils of Africa. Masai Ujiri, the first and only African-born president of a North American major league sports franchise, returns to Africa each summer to run basketball development camps. Young men from across the continent overcome staggering odds, with an unwavering spirit, to attend these camps, held in Nigeria, Kenya, Ghana and Rwanda. As Masai and his team of coaches work to train and inspire the raw talent that they encounter, Giants of Africa captures the amazing physical and emotional journey that these young African men pass through.Movies begin at dusk. This event is FREE and open to the public. Glass bottles and alcoholic beverages are strictly prohibited. In the event of heavy rain or extreme weather, the screening may be canceled. The decision to cancel the event will be made prior to the screening and will be prominently posted on our website.For more information visit nyc.gov/parks or call 311. Contact (212) 360-1430 or accessibility@parks.nyc.gov for more information regarding accessibility.",,"Registration not required.","X045","St. Mary's Park","08/18/2026","08/18/2026","2026-08-09 20:00:00","2026-08-09 22:30:00","(646) 988-7323","Gil Scott-Heron Amphitheater (in St. Mary's Park)","Film | Free Summer Movies | Movies Under the Stars","40.81142068086100000, -73.91246891021700000","http://www.nycgovparks.org/common_images/events/6a63690114c3d.jpg","2026-08-09 00:00:04"
"Stargazing on the High Line",,"2,212,434","http://www.nycgovparks.org/events/2026/08/18/stargazing-on-the-high-line","Immerse yourself in the wonders of the night sky every Tuesday on the High Line! The friendly team from the Amateur Astronomers Association—with whom we’ve been partnering since the park’s opening—will be there with high-powered telescopes, ready to reveal the secrets of the cosmos.No experience is necessary and telescopes will be provided between sunset and park closure.This High Line program is free and open to visitors of all ages. No RSVP is required.&nbsp;Stargazing on the High Line is subject to cancellation due to overcast conditions or inclement weather. If a stargazing session needs to be cancelled, we’ll add an alert to the High Line's webpage.",,,"M360","The High Line","08/18/2026","08/18/2026","2026-08-09 20:15:00","2026-08-09 22:00:00",,"On the High Line at 13th Street (in The High Line),under The Standard, at 13th St. (in The High Line)","Education | Nature | Astronomy","40.74072892169700000, -74.00806097415200000; 40.74089813232400000, -74.00800323486300000","http://www.nycgovparks.org/common_images/events/6a5686dce7feb.jpg","2026-08-09 00:00:04"
"Sunrise Tai Chi",,"2,218,005","http://www.nycgovparks.org/events/2026/08/19/sunrise-tai-chi","Embrace the serenity of weekly Sunrise Tai Chi at Fort Tryon Park! Join us for rejuvenating weekly sessions led by instructor Robert Martinez on the picturesque Linden Terrace. Don’t miss out on this tranquil start to your day!&nbsp;Time: Wednesdays @ 6:30 am – 7:30 am&nbsp;Place: Linden Terrace, Fort Tryon Park&nbsp;Wear: Comfy clothing, bring water","https://www.eventbrite.com/e/sunrise-tai-chi-tickets-1986475808618?aff=oddtdtcreator",,"M029","Fort Tryon Park","08/19/2026","08/19/2026","2026-08-09 06:30:00","2026-08-09 07:30:00","212-795-1388","Linden Terrace (in Fort Tryon Park)","Fitness","40.86169815063476600, -73.93350219726562000",,"2026-08-09 00:00:04"
"Summer Sports Experience: Pickleball","Donald Kane","2,181,600","http://www.nycgovparks.org/events/2026/08/19/summer-sports-experience-pickleball1","The Summer Sports Experience program participants receive age-appropriate instruction through organized clinics, skill stations, drills, conditioning, and live game situations led by experienced NYC Parks staff",,"Registration is closed.","R129","Blood Root Valley","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 12:00:00",,"Greenbelt Recreation Center (in Blood Root Valley)","Best for Kids | Sports | Summer Sports Experience | Recreation Center Programming | Pickleball","40.59198260134300000, -74.13947248458900000",,"2026-08-09 00:00:04"
"Faber Pool: Lap Swim",,"2,203,390","http://www.nycgovparks.org/events/2026/08/19/faber-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=e700503c-e5cc-4605-ac92-27585a0b5049","Registration has begun and ends on 8/28/2026.","R008","Faber Pool and Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Faber Pool (in Faber Pool and Park)","Fitness | Swimming/Aquatics","40.64119067464800000, -74.13548295673100000",,"2026-08-09 00:00:04"
"Kosciuszko Pool: Lap Swim",,"2,203,490","http://www.nycgovparks.org/events/2026/08/19/kosciuszko-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=e36f1929-a655-4526-b166-8a58459cde1d","Registration has begun and ends on 8/28/2026.","B351","Kosciuszko Pool","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Kosciuszko Pool","Fitness | Swimming/Aquatics","40.69120025634800000, -73.94950103759800000",,"2026-08-09 00:00:04"
"Hamilton Fish Pool: Lap Swim",,"2,203,596","http://www.nycgovparks.org/events/2026/08/19/hamilton-fish-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=f690be2d-9cfb-4c73-bb28-03f4576111bc","Registration has begun and ends on 8/28/2026.","M033","Hamilton Fish Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Main Pool (in Hamilton Fish Park)","Fitness | Swimming/Aquatics","40.71995200000000000, -73.98149100000000000",,"2026-08-09 00:00:04"
"Astoria Pool: Lap Swim",,"2,203,645","http://www.nycgovparks.org/events/2026/08/19/astoria-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=1b7a7d37-f59b-486e-92b8-cfee253e2801","Registration has begun and ends on 8/28/2026.","Q004","Astoria Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Astoria Pool (in Astoria Park)","Fitness | Swimming/Aquatics","40.77879389639600000, -73.92268174998500000",,"2026-08-09 00:00:04"
"Liberty Pool: Lap Swim",,"2,203,646","http://www.nycgovparks.org/events/2026/08/19/liberty-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=98f28b6e-9759-4319-bf74-70ac674a6ddb","Registration has begun and ends on 8/28/2026.","Q121","Detective Keith L Williams Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Main Pool (in Detective Keith L Williams Park)","Fitness | Swimming/Aquatics","40.70180531305800000, -73.78410351276400000",,"2026-08-09 00:00:04"
"Van Cortlandt Pool: Lap Swim",,"2,203,683","http://www.nycgovparks.org/events/2026/08/19/van-cortlandt-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=a68bf0eb-7dcf-499c-9c98-89580222a816","Registration has begun and ends on 8/28/2026.","X092","Van Cortlandt Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Van Cortlandt Park Pool (in Van Cortlandt Park)","Fitness | Swimming/Aquatics","40.88988373490900000, -73.89608025550800000",,"2026-08-09 00:00:04"
"Claremont Pool: Lap Swim",,"2,203,725","http://www.nycgovparks.org/events/2026/08/19/claremont-pool-lap-swim","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=b57dffc6-b020-4d0b-a0cf-eac95173f80e","Registration has begun and ends on 8/28/2026.","X008","Claremont Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Main Pool (in Claremont Park)","Fitness | Swimming/Aquatics","40.83721000000000000, -73.90798300000000000",,"2026-08-09 00:00:04"
"Lyons Pool: Lap Swim",,"2,203,743","http://www.nycgovparks.org/events/2026/08/19/lyons-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=28b67578-0689-4937-8dc6-b14deb963e7a","Registration has begun and ends on 8/28/2026.","R043","Lyons Pool","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Lyons Pool","Fitness | Swimming/Aquatics","40.63719940185500000, -74.07430267334000000",,"2026-08-09 00:00:04"
"McCarren Pool: Lap Swim",,"2,203,749","http://www.nycgovparks.org/events/2026/08/19/mccarren-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=1d191f07-fea4-4907-a288-39c148ff5db8","Registration has begun and ends on 8/28/2026.","B058","McCarren Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"McCarren Park Pool (in McCarren Park)","Fitness | Swimming/Aquatics","40.72015570000000000, -73.95174040000000000",,"2026-08-09 00:00:04"
"Gottesman Pool: Lap Swim",,"2,208,032","http://www.nycgovparks.org/events/2026/08/19/gottesman-pool-lap-swim1","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=01056044-98c9-4ebb-a32a-1bfefb2b4014","Registration has begun and ends on 8/28/2026.","M010","Central Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Gottesman Pool at the Davis Center (in Central Park)","Fitness | Swimming/Aquatics","40.79651656859400000, -73.95425450801900000",,"2026-08-09 00:00:04"
"Red Hook Pool: Lap Swim",,"2,214,230","http://www.nycgovparks.org/events/2026/08/19/red-hook-pool-lap-swim","Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=acc80c1b-d6ca-4023-b8ff-4e8c292529f6","Registration has begun and ends on 8/28/2026.","B126","Red Hook Recreation Area","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 08:30:00",,"Main Pool (in Red Hook Recreation Area)","Fitness | Swimming/Aquatics","40.67239600000000000, -74.00408700000000000",,"2026-08-09 00:00:04"
"It's My Park at Leif Ericson Park",,"2,219,677","http://www.nycgovparks.org/events/2026/08/19/its-my-park-at-leif-ericson-park","This It's My Park season, volunteer with Parent-Child Relationship Association to beautify Leif Ericson Park. We look forward to cleaning up the park with you!",,,"B052","Leif Ericson Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 09:00:00",,"Leif Ericson Park","Volunteer | It's My Park","40.63100051879900000, -74.01219940185500000",,"2026-08-09 00:00:04"
"It's My Park at Sunset Park",,"2,219,678","http://www.nycgovparks.org/events/2026/08/19/its-my-park-at-sunset-park","This It's My Park season, volunteer with Parent-Child Relationship Association to beautify Sunset Park. We look forward to cleaning up the park with you!",,,"B087","Sunset Park","08/19/2026","08/19/2026","2026-08-09 07:00:00","2026-08-09 09:00:00",,"Sunset Park","Volunteer | It's My Park","40.64791488647461000, -74.00363922119140000",,"2026-08-09 00:00:04"
"Line Dance Fitness","Anthony Seymour","2,214,705","http://www.nycgovparks.org/events/2026/08/19/line-dance-fitness","Line up and get ready to move in this line dance fitness class! You’ll have a blast with these low-moderate impact dance moves choreographed to your favorite songs.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=0d1342b0-deef-4b79-bbf5-30b58b63d682&occurrenceDate=20260819","Registration has begun and ends on 8/19/2026.","B008","Betsy Head Park","08/19/2026","08/19/2026","2026-08-09 08:00:00","2026-08-09 10:00:00",,"Handball Court (in Betsy Head Park)","Dance | Fitness | Shape Up NYC | Dance Classes | Exercise Classes","40.66203011782100000, -73.91401224247200000",,"2026-08-09 00:00:04"
"40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian",,"2,109,950","http://www.nycgovparks.org/events/2026/08/19/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian","From 1987 to 2019, celebrated NYC photographer Jack Vartoogian captured hundreds of SummerStage performances across Manhattan parks, from Central Park to Marcus Garvey Park and Tompkins Square Park.&nbsp;This selection of intimate, rarely seen imagery gives viewers a look back at past decades of outdoor live music in New York City, a peek behind the curtain with never-before-seen backstage photos and honors those artists who have passed on.&nbsp;From the earliest performances with Sun Ra Arkestra and Mavis and Pop Staples, to legendary artists in memoriam like Tito Puente and Hugh Masekela and backstage shots of Buddy Guy and Darlene Love, this exhibition celebrates not only a photographer’s commitment to documenting performance but also celebrates a 40-year legacy of SummerStage.This free exhibition is presented by City Parks Foundation in collaboration with NYC Parks Art&nbsp;&amp;&nbsp;Antiquities department.An opening reception will be held on June 16 from 6pm-8 pm, offering light refreshments, music and an exclusive exhibition poster while supplies last.&nbsp;Image credit: Sun Ra Arkestra at SummerStage, 1989, Jack Vartoogian",,,"M010","Central Park","08/19/2026","08/19/2026","2026-08-09 09:00:00","2026-08-09 17:00:00","2123608143","Arsenal (in Central Park)","Art | History","40.76720046997100000, -73.97129821777300000","http://www.nycgovparks.org/common_images/events/698252cdadc61.jpg","2026-08-09 00:00:04"
"Cardio Sculpt","Zarina Noor","2,161,863","http://www.nycgovparks.org/events/2026/08/19/cardio-sculpt","This cardio workout consists of functional movement exercises designed to make daily activities easier to perform. Meets at the athletic courts.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=9df3f0d8-8d0c-4eef-8c4c-bb11b3a6f47a&occurrenceDate=20260819","Registration has begun and ends on 8/19/2026.","Q340","Torsney Playground","08/19/2026","08/19/2026","2026-08-09 09:00:00","2026-08-09 10:00:00",,"Athletic Courts (in Torsney Playground)","Fitness | Shape Up NYC | Outdoor Fitness | Exercise Classes","40.74733661799600000, -73.92111921438200000",,"2026-08-09 00:00:04"
"Citywide Nursery Gardening",,"2,216,672","http://www.nycgovparks.org/events/2026/08/19/citywide-nursery-gardening","Join the Stewardship team and staff at Citywide Nursery to maintain our plant hoop houses and pot up perennials into larger grow pots. No experience necessary, staff will walk you through every part of the project. Come dressed in sturdy boots or shoes, long pants, and clothing that can get dirty. Please make sure to wear proper footwear as the nursery is very muddy and dusty. Space is limited and registration is required. This work is best suited for volunteers ages 13 and up. To sign up a group of 5 or more volunteers please reach out to stewardship@parks.nyc.gov.","https://www.nycgovparks.org/reg/stewardship/20195","Registration is required on the NYC Parks Stewardship page.",,,"08/19/2026","08/19/2026","2026-08-09 09:00:00","2026-08-09 12:00:00",,"Citywide Nursery","Nature | Volunteer | Workshops | Gardening","40.90193370000000000, -73.86830080000000000",,"2026-08-09 00:00:04"
"Wetland Wednesdays: Volunteer Restoration at Van Cortlandt Park",,"2,217,669","http://www.nycgovparks.org/events/2026/08/19/wetland-wednesdays-volunteer-restoration-at-van-cortlandt-park","Join Van Cortlandt Park Alliance for hands-on wetland and floodplain restoration. Dates include Wednesdays weekly from August 5th - August 26th. Dates are 8/5, 8/12, 8/19, and 8/26. All sessions run 9:00 AM - 12:00 PM.August 5 and August 12: hand removal of invasive water chestnut on Van Cortlandt Lake, from shore and from boats. August 19 and August 26: cutting invasive common reed (Phragmites) and clearing the floodplain edge. Wear clothes that can get wet and muddy; long sleeves and boots recommended for the August 19 and 26 sessions.Meet outside the VCPA offices at the Van Cortlandt Golf House, next to the bathrooms. Tools, gloves and training provided. No experience needed. Ages 15+ (minors need a signed waiver). Limited to 30 volunteers per session. Registration required. Groups of 6 or more, please email noel@vancortlandt.org in advance.",,"Registration is required and capacity is limited to 30 volunteers per session. Sign up for a specific date through Bloomerang Volunteer, or email noel@vancortlandt.org.","X092","Van Cortlandt Park","08/19/2026","08/19/2026","2026-08-09 09:00:00","2026-08-09 12:00:00",,"Van Cortlandt Golf House (in Van Cortlandt Park)","Nature | Volunteer","40.88903808593750000, -73.89234161376953000",,"2026-08-09 00:00:04"
"Team RIVER Volunteers",,"2,112,364","http://www.nycgovparks.org/events/2026/08/19/team-river-volunteers","Volunteer with Team RIVER (Randall’s Island Volunteer Ecological Restorers) and help keep Randall’s Island Park beautiful! Team RIVER Volunteers regularly work with the Natural Areas team twice a month to take care of and restore our natural spaces on the island. With our Horticulture team, volunteers care for the many gardens, green streets and meadows, every second Wednesday of each month. Team RIVER also works with our Sports Field and Operations teams, keeping our park clean and maintained. If you are only able to volunteer on a limited basis, you are still very much welcome!This volunteer opportunity is open to individuals from the community. Groups of more than 5 people must contact: Volunteers@RandallsIsland.orgVolunteers must be at least 11 years old. Anyone under the age of 18 must have a waiver signed by their legal guardian before starting any work. Children under 16 must also have an adult with them while volunteering. A downloadable volunteer waiver can be found at this link: General Volunteer – Randall’s IslandRegistration is required here.Location: Volunteers will be notified after registration.For inquiries about accessibility, to request an accommodation, or for event information, please email publicprograms@randallsisland.org.","https://www.eventbrite.com/e/team-river-volunteers-tickets-1980281661758?aff=oddtdtcreator","Registration is required","M104","Randall's Island Park","08/19/2026","08/19/2026","2026-08-09 09:30:00","2026-08-09 12:30:00","2128601899","Randall's Island Park","Education | Nature | Volunteer | Waterfront | Wildlife | STEM Classes | Gardening","40.79650115966797000, -73.92099761962890000","http://www.nycgovparks.org/common_images/events/698c9509bea7f.JPG","2026-08-09 00:00:04"
"Kids In Motion: Yellowstone Park",,"2,170,876","http://www.nycgovparks.org/events/2026/08/19/kim-yellowstone-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q425","Yellowstone Park","08/19/2026","08/19/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Katzman Playground (in Yellowstone Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.72620010375976600, -73.84790039062500000","http://www.nycgovparks.org/common_images/events/6a5e062f42849.jpg","2026-08-09 00:00:04"
"Le Carrousel Extravaganza in Bryant Park",,"2,171,730","http://www.nycgovparks.org/events/2026/08/19/le-carrousel-extravaganza","Le Carrousel Extravaganza is a lively, all-in-one entertainment experience featuring magic, puppetry, science, music, and storytelling. Designed to engage children of all ages, this dynamic program sparks imagination, encourages curiosity, and delivers fun-filled, interactive performances for every audience.LINEUP:All shows 10a-11aMusicAndy &amp; SuzannaMonday, July 13FunkyTown PlaygroundMondays: July 20, July 27, August 3, August 24 Wednesdays: September 16, September 23Mr. SimonMonday, August 10MagicChris CapeheartFridays: June 26, August 21Lee BarrettMonday, June 5Fridays: July 10, August 14Loonie LouieFridays: July 3, August 7Monday, September 21Mike PatrickFridays: June 19, July 24, August 28Silly BillyFridays: June 12, July 17Monday, September 7Zach AlexanderFridays: July 31,&nbsp; August 28Monday, September 14ScienceCrazy ScienceMondays: June 8, June 15, June 22, June 29Wednesdays: September 2, September 9Puppet ShowsLucky Duck PuppetsMonday, August 31Repertorio Español/Scaramouches Puppet TheatreWednesday, July 29, August 5, August 12, August 19, August 26Teatro SEAWednesday, July 1, July 8, July 15, July 22Wonderspark PuppetsWednesdays: June 10, June 17, June 24StorytimeStoryFacesMonday, August 17BubblesBubble Parties with SophieMonday, July 6&nbsp;Photo credit: Jazmin Nahas",,,"M008","Bryant Park","08/19/2026","08/19/2026","2026-08-09 10:00:00","2026-08-09 11:00:00","212-768-4242","Le Carrousel (in Bryant Park)","Best for Kids","40.75329971313500000, -73.98400115966800000","http://www.nycgovparks.org/common_images/events/69f3af6dd230e.jpg","2026-08-09 00:00:04"
"Kids In Motion: De Matti Playground",,"2,171,968","http://www.nycgovparks.org/events/2026/08/19/kim-dematti-playground","The Kids in Motion program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kias in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program.Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","R035","De Matti Park","08/19/2026","08/19/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"De Matti Playground (in De Matti Park)","Arts & Crafts | Games | Best for Kids","40.61449813842773400, -74.07420349121094000",,"2026-08-09 00:00:04"
